Date,Open,High,Low,Close,Volume,Obv,Rsi
2019-07-30,10080.53,9714.28,9402.0,9574.21,39515.35456,-3876539.245058998,36.28774907766505
2019-07-29,9574.21,9729.0,9395.0,9507.64,32536.368834,-3909075.613892998,35.69529416109482
2019-07-28,9507.64,9594.99,9165.0,9541.54,29021.937411,-3880053.676481998,36.26594785653243
2019-07-27,9541.54,10188.66,9333.0,9476.52,29401.022937,-3909454.699418998,35.61315959785152
2019-07-26,9476.52,9889.98,9637.0,9824.0,43809.778301,-3865644.9211179977,41.657209356400436
2019-07-25,9824.0,10175.0,9720.03,9879.87,27167.463217,-3838477.4579009977,42.59035476227384
2019-07-24,9879.87,9937.0,9525.0,9763.28,37873.354728,-3876350.8126289975,41.11259338670872
2019-07-23,9763.28,10343.97,9822.0,9864.91,43475.380377,-3832875.432251997,42.970143914022394
2019-07-22,9864.91,10683.16,10100.0,10340.31,47624.37071,-3785251.061541997,50.78991838531331
2019-07-21,10340.31,10817.9,10288.0,10589.45,40467.954839,-3744783.106702997,54.324546944000275
2019-07-20,10589.45,11068.99,10350.0,10740.23,38834.287935,-3705948.818767997,56.36716915233007
2019-07-19,10740.23,10769.71,10121.84,10504.29,47331.899848,-3753280.7186159976,52.41696470287915
2019-07-18,10504.29,10788.0,9252.0,10627.16,56546.932133,-3696733.7864829977,54.21638413068985
2019-07-17,10627.16,9957.0,9060.0,9667.92,80283.310252,-3777017.096734998,41.13718987966779
2019-07-16,9667.92,11028.0,9350.01,9439.59,84942.672717,-3861959.7694519977,38.741413483510264
2019-07-15,9439.59,11100.0,9860.0,10838.72,97219.443413,-3764740.3260389976,55.748203303470376
2019-07-14,10838.72,11452.0,10103.0,10174.18,81922.426332,-3846662.752370998,48.81608366852815
2019-07-13,10174.18,11799.98,10830.0,11355.76,72517.579236,-3774145.173134998,58.659348649988274
2019-07-12,11355.76,11885.0,11073.0,11757.22,54245.594548,-3719899.578586998,61.377127218650614
2019-07-11,11757.22,12111.73,11000.0,11342.89,56321.858281,-3776221.436867998,57.19781356631213
2019-07-10,11342.89,13147.08,11569.0,12108.37,87506.461058,-3688714.975809998,62.304716194933
2019-07-09,12108.37,12794.73,12068.0,12543.41,109246.044997,-3579468.9308129977,64.87007915404648
2019-07-08,12543.41,12338.03,11220.0,12238.6,78442.130343,-3657911.0611559977,61.70165497181228
2019-07-07,12238.6,11538.0,11094.37,11406.24,52182.367215,-3710093.428370998,53.95214437977881
2019-07-06,11406.24,11665.0,10964.51,11256.49,38884.795599,-3748978.223969998,52.67044906334266
2019-07-05,11256.49,11406.83,10796.44,10970.73,51469.496331,-3800447.7203009976,50.21878168460845
2019-07-04,10970.73,12000.0,11055.0,11145.67,63534.350582,-3736913.3697189977,51.70097635517887
2019-07-03,11145.67,11991.89,10841.04,11940.0,66512.221892,-3670401.1478269976,57.83922946019134
2019-07-02,11940.0,10938.75,9727.0,10842.85,96815.90029,-3767217.048116997,48.64359266686681
2019-07-01,10842.85,11282.28,10030.0,10624.93,109561.038728,-3876778.0868449975,47.04375094326421
